Sample	Treat_Control	Time_Point	Plot	Depth
14_0903_02_20cm	treatment	0	2	20
14_0903_02_30cm	treatment	0	2	30
14_0903_02_40cm	treatment	0	2	40
14_0903_05_20cm	control	0	5	20
14_0903_05_30cm	control	0	5	30
14_0903_05_40cm	control	0	5	40
14_0903_09_20cm	treatment	0	9	20
14_0903_09_30cm	treatment	0	9	30
14_0903_09_40cm	treatment	0	9	40
14_0903_12_20cm	control	0	12	20
14_0903_12_30cm	control	0	12	30
14_0903_12_40cm	control	0	12	40
14_0903_13_20cm	treatment	0	13	20
14_0903_13_30cm	treatment	0	13	30
14_0903_13_40cm	treatment	0	13	40
14_0903_16_20cm	control	0	16	20
14_0903_16_30cm	control	0	16	30
14_0903_16_40cm	control	0	16	40
14_0919_02_20cm	treatment	1	2	20
14_0919_05_20cm	control	1	5	20
14_0919_09_20cm	treatment	1	9	20
14_0919_12_20cm	control	1	12	20
14_0927_02_20cm	treatment	2	2	20
14_0927_02_40cm	treatment	2	2	40
14_0927_05_20cm	control	2	5	20
14_0927_05_40cm	control	2	5	40
14_0927_09_20cm	treatment	2	9	20
14_0927_09_40cm	treatment	2	9	40
14_0927_12_20cm	control	2	12	20
14_0927_12_40cm	control	2	12	40
14_0929_02_20cm	treatment	3	2	20
14_0929_02_30cm	treatment	3	2	30
14_0929_02_40cm	treatment	3	2	40
14_0929_05_20cm	control	3	5	20
14_0929_05_30cm	control	3	5	30
14_0929_05_40cm	control	3	5	40
14_0929_09_20cm	treatment	3	9	20
14_0929_09_30cm	treatment	3	9	30
14_0929_09_40cm	treatment	3	9	40
14_0929_12_20cm	control	3	12	20
14_0929_12_30cm	control	3	12	30
14_0929_12_40cm	control	3	12	40
14_1009_02_20cm	treatment	4	2	20
14_1009_02_30cm	treatment	4	2	30
14_1009_02_40cm	treatment	4	2	40
14_1009_05_20cm	control	4	5	20
14_1009_05_30cm	control	4	5	30
14_1009_05_40cm	control	4	5	40
14_1009_09_20cm	treatment	4	9	20
14_1009_09_30cm	treatment	4	9	30
14_1009_09_40cm	treatment	4	9	40
14_1009_12_20cm	control	4	12	20
14_1009_12_30cm	control	4	12	30
14_1009_12_40cm	control	4	12	40
14_1009_13_20cm	treatment	4	13	20
14_1009_13_30cm	treatment	4	13	30
14_1009_13_40cm	treatment	4	13	40
14_1009_16_20cm	control	4	16	20
14_1009_16_30cm	control	4	16	30
14_1009_16_40cm	control	4	16	40
