old	new
14_0903_05_40cm_Acidobacteria_477_57_13	Acidobacteria_ANG_477
14_0903_09_40cm_Bacteria_750_66_8	Dormibacteraeota_ANG_750
14_0927_12_40cm_Bacteria_6527_55_8	Verrucomicrobia_ANG_6527
14_0929_12_30cm_Bacteria_7383_54_8	Verrucomicrobia_ANG_7383
14_0927_05_20cm_Bacteria_2135_68_10	Chloroflexi_ANG_2135
14_0903_12_20cm_Proteobacteria_884_68_14	Gammaproteobacteria_ANG_884
14_1009_02_30cm_Bacteria_3696_55_11	Verrucomicrobia_ANG_3696
14_0929_02_40cm_Rokubacteria_2807_70_29	Rokubacteria_ANG_2807
14_0927_05_20cm_Gemmatimonadetes_2150_69_20	Gemmatimonadetes_ANG_2150
14_1009_02_30cm_Gemmatimonadetes_3684_69_12	Gemmatimonadetes_ANG_3684
14_0929_02_20cm_Deltaproteobacteria_2457_55_9	Deltaproteobacteria_ANG_2457
14_0929_09_30cm_Armatimonadetes_6837_65_8	ANGP1_ANG_6837
14_0903_02_20cm_Proteobacteria_56_68_14	Gammaproteobacteria_ANG_56
14_1009_16_30cm_Bacteria_10556_58_16	Acidobacteria_ANG_10556
14_1009_05_40cm_Gemmatimonadetes_4339_69_30	Gemmatimonadetes_ANG_4339
14_1009_02_40cm_Gemmatimonadetes_3801_70_15	Gemmatimonadetes_ANG_3801
14_1009_02_40cm_Gemmatimonadetes_3800_70_27	Gemmatimonadetes_ANG_3800
14_0929_09_20cm_Bacteria_6721_56_10	Verrucomicrobia_ANG_6721
14_1009_05_40cm_Bacteria_4402_54_13	Verrucomicrobia_ANG_4402
