sample	plot	replicate	block	south	north
14_0903_02_20cm	2	02_20cm	5_2	south	out
14_0903_02_30cm	2	02_30cm	5_2	south	out
14_0903_02_40cm	2	02_40cm	5_2	south	out
14_0903_05_20cm	5	05_20cm	5_2	south	out
14_0903_05_30cm	5	05_30cm	5_2	south	out
14_0903_05_40cm	5	05_40cm	5_2	south	out
14_0903_09_20cm	9	09_20cm	12_9	south	north
14_0903_09_30cm	9	09_30cm	12_9	south	north
14_0903_09_40cm	9	09_40cm	12_9	south	north
14_0903_12_20cm	12	12_20cm	12_9	south	north
14_0903_12_30cm	12	12_30cm	12_9	south	north
14_0903_12_40cm	12	12_40cm	12_9	south	north
14_0903_13_20cm	13	13_20cm	16_13	out	north
14_0903_13_30cm	13	13_30cm	16_13	out	north
14_0903_13_40cm	13	13_40cm	16_13	out	north
14_0903_16_20cm	16	16_20cm	16_13	out	north
14_0903_16_30cm	16	16_30cm	16_13	out	north
14_0903_16_40cm	16	16_40cm	16_13	out	north
14_0919_02_20cm	2	02_20cm	5_2	south	out
14_0919_05_20cm	5	05_20cm	5_2	south	out
14_0919_09_20cm	9	09_20cm	12_9	south	north
14_0919_12_20cm	12	12_20cm	12_9	south	north
14_0927_02_20cm	2	02_20cm	5_2	south	out
14_0927_02_40cm	2	02_40cm	5_2	south	out
14_0927_05_20cm	5	05_20cm	5_2	south	out
14_0927_05_40cm	5	05_40cm	5_2	south	out
14_0927_09_20cm	9	09_20cm	12_9	south	north
14_0927_09_40cm	9	09_40cm	12_9	south	north
14_0927_12_20cm	12	12_20cm	12_9	south	north
14_0927_12_40cm	12	12_40cm	12_9	south	north
14_0929_02_20cm	2	02_20cm	5_2	south	out
14_0929_02_30cm	2	02_30cm	5_2	south	out
14_0929_02_40cm	2	02_40cm	5_2	south	out
14_0929_05_20cm	5	05_20cm	5_2	south	out
14_0929_05_30cm	5	05_30cm	5_2	south	out
14_0929_05_40cm	5	05_40cm	5_2	south	out
14_0929_09_20cm	9	09_20cm	12_9	south	north
14_0929_09_30cm	9	09_30cm	12_9	south	north
14_0929_09_40cm	9	09_40cm	12_9	south	north
14_0929_12_20cm	12	12_20cm	12_9	south	north
14_0929_12_30cm	12	12_30cm	12_9	south	north
14_0929_12_40cm	12	12_40cm	12_9	south	north
14_1009_02_20cm	2	02_20cm	5_2	south	out
14_1009_02_30cm	2	02_30cm	5_2	south	out
14_1009_02_40cm	2	02_40cm	5_2	south	out
14_1009_05_20cm	5	05_20cm	5_2	south	out
14_1009_05_30cm	5	05_30cm	5_2	south	out
14_1009_05_40cm	5	05_40cm	5_2	south	out
14_1009_09_20cm	9	09_20cm	12_9	south	north
14_1009_09_30cm	9	09_30cm	12_9	south	north
14_1009_09_40cm	9	09_40cm	12_9	south	north
14_1009_12_20cm	12	12_20cm	12_9	south	north
14_1009_12_30cm	12	12_30cm	12_9	south	north
14_1009_12_40cm	12	12_40cm	12_9	south	north
14_1009_13_20cm	13	13_20cm	16_13	out	north
14_1009_13_30cm	13	13_30cm	16_13	out	north
14_1009_13_40cm	13	13_40cm	16_13	out	north
14_1009_16_20cm	16	16_20cm	16_13	out	north
14_1009_16_30cm	16	16_30cm	16_13	out	north
14_1009_16_40cm	16	16_40cm	16_13	out	north
