genome	total_coverage
14_0903_02_20cm_Proteobacteria_56_68_14	588.680796737853
14_0903_05_40cm_Acidobacteria_477_57_13	322.336985008097
14_0903_09_40cm_Bacteria_750_66_8	224.03867169227
14_0903_12_20cm_Proteobacteria_884_68_14	278.194347953499
14_0927_05_20cm_Bacteria_2135_68_10	366.085393316151
14_0927_05_20cm_Gemmatimonadetes_2150_69_20	908.024738703565
14_0927_12_40cm_Bacteria_6527_55_8	298.393471135144
14_0929_02_20cm_Deltaproteobacteria_2457_55_9	354.363430539464
14_0929_02_40cm_Rokubacteria_2807_70_29	474.909414064782
14_0929_09_20cm_Bacteria_6721_56_10	319.984783487548
14_0929_09_30cm_Armatimonadetes_6837_65_8	668.612064088212
14_0929_12_30cm_Bacteria_7383_54_8	489.531568048277
14_1009_02_30cm_Bacteria_3696_55_11	359.641152074749
14_1009_02_30cm_Gemmatimonadetes_3684_69_12	636.965188248299
14_1009_02_40cm_Gemmatimonadetes_3800_70_27	294.729967691337
14_1009_02_40cm_Gemmatimonadetes_3801_70_15	372.839520125096
14_1009_05_40cm_Bacteria_4402_54_13	384.770750403257
14_1009_05_40cm_Gemmatimonadetes_4339_69_30	442.964561859358
14_1009_16_30cm_Bacteria_10556_58_16	478.991708554836
