gene	locus_num	genome	block1	block2
14_0903_05_40cm_scaffold_55_30	1	14_0903_05_40cm_Acidobacteria_477_57_13	5_2	16_13
14_0903_05_40cm_scaffold_55_31	1	14_0903_05_40cm_Acidobacteria_477_57_13	5_2	16_13
14_0903_05_40cm_scaffold_55_33	1	14_0903_05_40cm_Acidobacteria_477_57_13	5_2	16_13
14_0903_05_40cm_scaffold_55_35	1	14_0903_05_40cm_Acidobacteria_477_57_13	5_2	16_13
14_0903_05_40cm_scaffold_55_36	1	14_0903_05_40cm_Acidobacteria_477_57_13	5_2	16_13
14_0927_05_20cm_scaffold_86_92	1	14_0927_05_20cm_Bacteria_2135_68_10	5_2	12_9
14_0927_05_20cm_scaffold_86_93	1	14_0927_05_20cm_Bacteria_2135_68_10	5_2	12_9
14_0927_05_20cm_scaffold_86_94	1	14_0927_05_20cm_Bacteria_2135_68_10	5_2	12_9
14_0927_05_20cm_scaffold_86_95	1	14_0927_05_20cm_Bacteria_2135_68_10	5_2	12_9
14_0927_05_20cm_scaffold_86_96	1	14_0927_05_20cm_Bacteria_2135_68_10	5_2	12_9
14_0927_05_20cm_scaffold_86_97	1	14_0927_05_20cm_Bacteria_2135_68_10	5_2	12_9
14_0927_05_20cm_scaffold_86_98	1	14_0927_05_20cm_Bacteria_2135_68_10	5_2	12_9
14_0927_05_20cm_scaffold_503_17	2	14_0927_05_20cm_Bacteria_2135_68_10	5_2	16_13
14_0927_05_20cm_scaffold_503_18	2	14_0927_05_20cm_Bacteria_2135_68_10	5_2	16_13
14_0927_05_20cm_scaffold_503_19	2	14_0927_05_20cm_Bacteria_2135_68_10	5_2	16_13
14_0927_05_20cm_scaffold_503_20	2	14_0927_05_20cm_Bacteria_2135_68_10	5_2	16_13
14_0927_05_20cm_scaffold_503_21	2	14_0927_05_20cm_Bacteria_2135_68_10	5_2	16_13
14_0927_05_20cm_scaffold_576_41	3	14_0927_05_20cm_Bacteria_2135_68_10	5_2	16_13
14_0927_05_20cm_scaffold_576_42	3	14_0927_05_20cm_Bacteria_2135_68_10	5_2	16_13
14_0927_05_20cm_scaffold_576_43	3	14_0927_05_20cm_Bacteria_2135_68_10	5_2	16_13
14_0927_05_20cm_scaffold_576_44	3	14_0927_05_20cm_Bacteria_2135_68_10	5_2	16_13
14_0927_05_20cm_scaffold_576_45	3	14_0927_05_20cm_Bacteria_2135_68_10	5_2	16_13
14_0927_05_20cm_scaffold_2199_3	1	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_2199_4	1	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_2199_5	1	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_2199_6	1	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_2199_7	1	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_2199_8	1	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_2199_9	1	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_405_31	2	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_405_32	2	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_405_33	2	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_405_34	2	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_405_35	2	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	16_13	12_9
14_0927_05_20cm_scaffold_1142_6	3	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	12_9
14_0927_05_20cm_scaffold_1142_7	3	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	12_9
14_0927_05_20cm_scaffold_1142_8	3	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	12_9
14_0927_05_20cm_scaffold_1142_9	3	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	12_9
14_0927_05_20cm_scaffold_1142_10	3	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	12_9
14_0927_05_20cm_scaffold_1142_11	3	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	12_9
14_0927_05_20cm_scaffold_1142_12	3	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	12_9
14_0927_05_20cm_scaffold_211_39	4	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_211_40	4	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_211_41	4	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_211_42	4	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_211_43	4	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_211_44	4	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_3061_13	5	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_3061_14	5	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_3061_15	5	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_3061_17	5	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_3061_18	5	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_3061_19	5	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_3061_20	5	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_3061_21	5	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_3061_22	5	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
