genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
14_0927_12_40cm_Thaumarchaeota_6519_36_7.fasta,1_1,0.030000000000000027,average,ANImf,1
14_1009_12_40cm_Thaumarchaeota_8761_35_9.fasta,1_1,0.030000000000000027,average,ANImf,1
14_1009_12_30cm_Thaumarchaeota_8534_36_6.fasta,1_2,0.030000000000000027,average,ANImf,1
14_0903_05_40cm_Thaumarchaeota_481_37_7.fasta,2_1,0.030000000000000027,average,ANImf,2
14_0903_16_40cm_Thaumarchaeota_5674_38_9.fasta,2_1,0.030000000000000027,average,ANImf,2
14_0929_02_40cm_Thaumarchaeota_2825_38_5.fasta,2_1,0.030000000000000027,average,ANImf,2
14_0929_05_30cm_Thaumarchaeota_3189_38_12.fasta,2_1,0.030000000000000027,average,ANImf,2
14_0929_05_40cm_Thaumarchaeota_3406_38_6.fasta,2_1,0.030000000000000027,average,ANImf,2
14_1009_05_30cm_Thaumarchaeota_4188_38_6.fasta,2_1,0.030000000000000027,average,ANImf,2
14_1009_05_40cm_Thaumarchaeota_4338_38_7.fasta,2_1,0.030000000000000027,average,ANImf,2
14_1009_16_30cm_Thaumarchaeota_9676_38_13.fasta,2_1,0.030000000000000027,average,ANImf,2
14_1009_16_40cm_Thaumarchaeota_10123_38_28.fasta,2_1,0.030000000000000027,average,ANImf,2
14_0927_12_40cm_Thaumarchaeota_6505_39_7.fasta,3_1,0.030000000000000027,average,ANImf,3
14_0929_05_40cm_Thaumarchaeota_3393_39_7.fasta,3_1,0.030000000000000027,average,ANImf,3
14_1009_12_40cm_Thaumarchaeota_8705_38_5.fasta,3_1,0.030000000000000027,average,ANImf,3
14_1009_16_40cm_Thaumarchaeota_10057_39_11.fasta,3_1,0.030000000000000027,average,ANImf,3
14_0929_12_30cm_Thaumarchaeota_7395_39_7.fasta,4_0,0.030000000000000027,average,ANImf,4
14_0903_16_40cm_Candidatus_Nitrososphaera_gargensis_5725_48_10.fasta,5_1,0.030000000000000027,average,ANImf,5
14_0927_09_40cm_Candidatus_Nitrososphaera_gargensis_6162_48_8.fasta,5_1,0.030000000000000027,average,ANImf,5
14_0929_02_40cm_Candidatus_Nitrososphaera_gargensis_2827_48_7.fasta,5_1,0.030000000000000027,average,ANImf,5
14_0929_05_40cm_Candidatus_Nitrososphaera_gargensis_3428_49_12.fasta,5_1,0.030000000000000027,average,ANImf,5
14_0929_09_40cm_Candidatus_Nitrososphaera_gargensis_7037_48_8.fasta,5_1,0.030000000000000027,average,ANImf,5
