locus	orf	orf_start	annotation
14_0927_05_20cm_Bacteria_2135_68_10:2	14_0927_05_20cm_scaffold_503_17	13197	ATPase
14_0927_05_20cm_Bacteria_2135_68_10:2	14_0927_05_20cm_scaffold_503_18	14467	Methylenetetrahydrofolate reductase
14_0927_05_20cm_Bacteria_2135_68_10:2	14_0927_05_20cm_scaffold_503_19	15371	unk
14_0927_05_20cm_Bacteria_2135_68_10:2	14_0927_05_20cm_scaffold_503_20	15901	penicillin-binding proteins
14_0927_05_20cm_Bacteria_2135_68_10:2	14_0927_05_20cm_scaffold_503_21	18298	Polyprenyl synthetase
			
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_20	20764	Aminotransferase class I and II
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_21	21960	superoxide dismutase
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_22	22721	Squalene-hopene cyclase
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_23	24729	Hopanoid biosynthesis associated radical SAM protein HpnH
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_24	26218	MarC family integral membrane protein
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_25	26878	Peptidase family M3
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_26	29142	unk
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_27	29698	Dolichyl-phosphate-mannose-protein mannosyltransferase
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_28	31260	aminopeptidase
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_29	31919	aminopeptidase
14_0927_12_40cm_Bacteria_6527_55_8:1	14_0927_12_40cm_scaffold_4891_30	32913	unk
			
14_0929_02_20cm_Deltaproteobacteria_2457_55_9:1	14_0929_02_20cm_scaffold_146_4	2389	 PAS/PAC sensor signal transduction histidine kinase 
14_0929_02_20cm_Deltaproteobacteria_2457_55_9:1	14_0929_02_20cm_scaffold_146_5	3908	unk
14_0929_02_20cm_Deltaproteobacteria_2457_55_9:1	14_0929_02_20cm_scaffold_146_6	4451	 O-methyltransferase 
14_0929_02_20cm_Deltaproteobacteria_2457_55_9:1	14_0929_02_20cm_scaffold_146_7	5404	GAF sensor hybrid histidine kinase
14_0929_02_20cm_Deltaproteobacteria_2457_55_9:1	14_0929_02_20cm_scaffold_146_8	11393	multi-sensor hybrid histidine kinase
14_0929_02_20cm_Deltaproteobacteria_2457_55_9:1	14_0929_02_20cm_scaffold_146_9	13583	ABC-type nitrate/sulfonate/bicarbonate transport system
14_0929_02_20cm_Deltaproteobacteria_2457_55_9:1	14_0929_02_20cm_scaffold_146_10	14652	Glyoxalase/Bleomycin resistance protein/Dioxygenase
14_0929_02_20cm_Deltaproteobacteria_2457_55_9:4	14_0929_02_20cm_scaffold_146_11	15470	unk
14_0929_02_20cm_Deltaproteobacteria_2457_55_9:4	14_0929_02_20cm_scaffold_146_12	15820	Surface antigen
			
14_0929_02_40cm_Rokubacteria_2807_70_29:1	14_0929_02_40cm_scaffold_111_32	31151	ABC transporter permease
14_0929_02_40cm_Rokubacteria_2807_70_29:1	14_0929_02_40cm_scaffold_111_33	31900	binding-protein-dependent transporters
14_0929_02_40cm_Rokubacteria_2807_70_29:1	14_0929_02_40cm_scaffold_111_34	32643	ABC transporter permease
