cluster	cluster_num	type	scaffold	start	stop	Domain	motif	ORF

c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	34552	36571	false	false	14_0903_02_20cm_scaffold_17_26
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	36588	37578	false	false	14_0903_02_20cm_scaffold_17_27
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	37574	37856	false	false	14_0903_02_20cm_scaffold_17_28
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	37870	38437	false	false	14_0903_02_20cm_scaffold_17_29
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	38555	39188	false	false	14_0903_02_20cm_scaffold_17_30
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	39310	40525	false	false	14_0903_02_20cm_scaffold_17_31
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	40542	41487	false	false	14_0903_02_20cm_scaffold_17_32
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	41483	42128	false	false	14_0903_02_20cm_scaffold_17_33
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	42127	42988	false	false	14_0903_02_20cm_scaffold_17_34
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	42933	43731	adh_short	false	14_0903_02_20cm_scaffold_17_35
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	43759	44593	phytoene_synt	false	14_0903_02_20cm_scaffold_17_36
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	44576	45962	false	false	14_0903_02_20cm_scaffold_17_37
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	45958	46702	oMT	false	14_0903_02_20cm_scaffold_17_38
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	46698	48042	false	false	14_0903_02_20cm_scaffold_17_39
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	48078	48483	false	false	14_0903_02_20cm_scaffold_17_40
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	48596	51200	false	false	14_0903_02_20cm_scaffold_17_41
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	51203	52286	Aminotran_5	false	14_0903_02_20cm_scaffold_17_42
