genome,completeness,contamination,length,N50
14_0903_02_20cm_Bacteria_55_64_8.fasta,98.29,4.7,6285682.0,195899.0
14_0903_02_20cm_Acidobacteria_110_57_10.fasta,98.28,4.15,5226924.0,30912.0
14_0903_02_20cm_Betaproteobacteria_71_65_10.fasta,97.0,5.29,4035020.0,18773.0
14_0903_02_20cm_Proteobacteria_54_67_14.fasta,95.99,2.52,4227238.0,45538.0
14_0903_02_20cm_Betaproteobacteria_69_66_11.fasta,95.94,7.49,3877647.0,11213.0
14_0903_02_20cm_Gemmatimonadetes_59_69_10.fasta,95.6,5.49,3701868.0,44347.0
14_0903_02_20cm_Proteobacteria_56_68_14.fasta,93.48,2.08,3760285.0,43388.0
14_0903_02_20cm_Deltaproteobacteria_73_67_6.fasta,93.2,3.64,4961289.0,30083.0
14_0903_02_20cm_Euryarchaeota_62_65_10.fasta,92.64,9.28,2142911.0,10405.0
14_0903_02_20cm_Bacteria_61_57_7.fasta,90.12,7.26,6981711.0,19879.0
14_0903_02_20cm_Euryarchaeota_58_64_8.fasta,89.32,2.93,2009752.0,29117.0
14_0903_02_20cm_unknown_76_52_6.fasta,89.32,2.91,2077497.0,25971.0
14_0903_02_20cm_Bacteria_70_54_10.fasta,88.73,9.5,3816026.0,11278.0
14_0903_02_20cm_Gemmatimonadetes_85_65_7.fasta,88.46,4.78,3455753.0,32227.0
14_0903_02_20cm_Bacteria_116_55_9.fasta,86.64,23.86,3222191.0,5121.0
14_0903_02_20cm_Bacteria_82_66_7.fasta,86.54,3.25,2812225.0,16644.0
14_0903_02_20cm_Gemmatimonadetes_83_65_6.fasta,86.41,7.34,3372682.0,15958.0
14_0903_02_20cm_Gemmatimonadetes_77_68_12.fasta,85.78,6.21,3552270.0,5388.0
14_0903_02_20cm_Sphingobacteriales_57_38_5.fasta,85.48,1.05,4650493.0,22042.0
14_0903_02_20cm_Bacteria_68_65_6.fasta,83.82,2.04,2704021.0,10388.0
14_0903_02_20cm_Bacteria_99_55_12.fasta,83.51,7.61,2582618.0,6691.0
14_0903_02_20cm_Gemmatimonadetes_66_69_7.fasta,82.14,2.2,3378228.0,14634.0
14_0903_02_20cm_Gemmatimonadetes_60_60_6.fasta,81.86,0.6,3269261.0,16657.0
14_0903_02_20cm_Sphingomonadales_65_67_5.fasta,81.65,3.53,3068266.0,21322.0
14_0903_02_20cm_Bacteria_88_55_7.fasta,80.72,1.69,1993268.0,12439.0
14_0903_02_20cm_Rokubacteria_75_70_6.fasta,78.29,4.42,3883548.0,11457.0
14_0903_02_20cm_Gemmatimonadetes_72_69_9.fasta,77.5,3.85,3440329.0,9405.0
14_0903_02_20cm_Actinobacteria_74_69_9.fasta,76.9,2.3,2035297.0,12075.0
14_0903_02_20cm_Actinobacteria_63_68_5.fasta,76.67,0.86,2435509.0,12566.0
14_0903_02_20cm_Bacteria_67_55_6.fasta,74.41,5.46,,
14_0903_02_20cm_Rokubacteria_80_69_5.fasta,72.76,3.81,,
14_0903_02_20cm_Acidobacteria_95_56_13.fasta,72.52,8.67,,
14_0903_02_20cm_Alphaproteobacteria_64_65_14.fasta,70.01,2.77,,
14_0903_02_20cm_Bacteria_87_55_8.fasta,69.92,4.63,,
14_0903_02_20cm_Bacteria_78_68_7.fasta,68.81,7.14,,
14_0903_02_20cm_Verrucomicrobia_93_54_11.fasta,68.45,2.14,,
14_0903_02_20cm_Bacteria_94_69_7.fasta,67.47,9.23,,
14_0903_02_20cm_Bacteria_101_55_10.fasta,67.28,10.63,,
14_0903_02_20cm_Gemmatimonadetes_111_69_6.fasta,66.38,6.9,,
14_0903_02_20cm_unknown_96_51_5.fasta,65.83,0.0,,
14_0903_02_20cm_Bacteria_84_65_5.fasta,65.24,1.23,,
14_0903_02_20cm_Bacteria_97_67_6.fasta,64.69,2.78,,
14_0903_02_20cm_Rokubacteria_81_69_6.fasta,63.64,5.55,,
14_0903_02_20cm_Bacteria_130_55_8.fasta,62.23,9.5,,
14_0903_02_20cm_Acidobacteria_104_57_5.fasta,60.97,0.85,,
14_0903_02_20cm_Bacteria_79_55_6.fasta,60.92,2.73,,
14_0903_02_20cm_Bacteria_89_53_6.fasta,58.79,4.39,,
14_0903_02_20cm_Bacteria_120_53_4.fasta,57.5,14.96,,
14_0903_02_20cm_Gemmatimonadetes_124_68_6.fasta,55.97,0.0,,
14_0903_02_20cm_Bacteria_86_54_6.fasta,55.67,1.01,,
14_0903_02_20cm_Bacteria_114_56_5.fasta,53.76,5.98,,
14_0903_02_20cm_Bacteria_107_68_5.fasta,52.09,1.98,,
14_0903_02_20cm_Bacteria_90_66_4.fasta,51.0,3.58,,
14_0903_02_20cm_Bacteria_109_53_6.fasta,49.99,14.31,,
14_0903_02_20cm_Bacteria_117_54_6.fasta,46.89,1.38,,
14_0903_02_20cm_Actinobacteria_131_68_7.fasta,46.46,15.8,,
14_0903_02_20cm_Rhizobiales_102_60_6.fasta,46.44,7.11,,
14_0903_02_20cm_Bacteria_113_72_8.fasta,46.25,11.86,,
14_0903_02_20cm_Gemmatimonadetes_148_68_5.fasta,45.8,1.72,,
14_0903_02_20cm_Bacteria_118_68_6.fasta,45.79,18.03,,
14_0903_02_20cm_Gemmatimonadetes_92_62_4.fasta,45.55,1.1,,
14_0903_02_20cm_Bacteria_98_69_4.fasta,44.05,3.95,,
14_0903_02_20cm_Actinobacteria_132_68_5.fasta,43.39,11.5,,
14_0903_02_20cm_Bacteria_91_67_4.fasta,42.04,4.95,,
14_0903_02_20cm_Bacteria_103_54_5.fasta,39.12,1.35,,
14_0903_02_20cm_Gemmatimonadetes_142_64_5.fasta,39.03,6.04,,
14_0903_02_20cm_Bacteria_115_50_4.fasta,38.5,0.85,,
14_0903_02_20cm_Rokubacteria_105_68_5.fasta,37.66,0.86,,
14_0903_02_20cm_Gemmatimonadetes_123_64_4.fasta,37.57,0.0,,
14_0903_02_20cm_Actinobacteria_119_68_5.fasta,35.8,4.89,,
14_0903_02_20cm_Sphingobacteriales_134_40_4.fasta,35.45,5.92,,
14_0903_02_20cm_Actinobacteria_155_68_7.fasta,30.5,5.79,,
14_0903_02_20cm_Alphaproteobacteria_100_62_4.fasta,25.23,2.06,,
14_0903_02_20cm_Verrucomicrobia_121_54_6.fasta,23.84,0.84,,
14_0903_02_20cm_Bacteria_135_58_4.fasta,23.72,4.6,,
14_0903_02_20cm_Bradyrhizobium_153_61_7.fasta,23.59,4.17,,
14_0903_02_20cm_Bacteria_127_65_5.fasta,23.59,0.0,,
14_0903_02_20cm_Bacteria_154_65_4.fasta,23.15,0.63,,
14_0903_02_20cm_Bacteria_129_54_5.fasta,22.56,0.5,,
14_0903_02_20cm_Bacteria_150_55_7.fasta,22.11,2.59,,
14_0903_02_20cm_Bacteria_149_55_10.fasta,20.31,0.0,,
14_0903_02_20cm_Gemmatimonadetes_106_66_4.fasta,16.91,0.0,,
14_0903_02_20cm_Bacteria_126_68_8.fasta,16.88,0.52,,
14_0903_02_20cm_Bacteria_145_64_4.fasta,16.3,3.45,,
14_0903_02_20cm_Bacteria_108_67_5.fasta,16.24,1.29,,
14_0903_02_20cm_Bacteria_151_55_7.fasta,15.67,1.72,,
14_0903_02_20cm_Bacteria_122_65_5.fasta,14.91,2.2,,
14_0903_02_20cm_Bacteria_146_68_7.fasta,13.4,0.0,,
14_0903_02_20cm_Bacteria_128_67_7.fasta,13.33,0.0,,
14_0903_02_20cm_Alphaproteobacteria_112_63_5.fasta,13.15,0.13,,
14_0903_02_20cm_Bacteria_137_55_6.fasta,11.94,0.04,,
14_0903_02_20cm_Verrucomicrobia_147_55_10.fasta,11.05,0.0,,
14_0903_02_20cm_Bacteria_144_66_7.fasta,10.42,0.0,,
14_0903_02_20cm_Bacteria_143_66_6.fasta,9.8,0.0,,
14_0903_02_20cm_Bacteria_140_64_5.fasta,8.13,0.0,,
14_0903_02_20cm_Bacteria_152_57_5.fasta,7.29,0.0,,
14_0903_02_20cm_Bacteria_136_54_8.fasta,6.27,0.0,,
14_0903_02_20cm_unknown_141_63_6.fasta,5.44,0.0,,
14_0903_02_20cm_Bacteria_138_56_7.fasta,4.7,0.0,,
14_0903_02_20cm_Bacteria_139_54_10.fasta,4.01,0.0,,
14_0903_02_20cm_Bacteria_125_67_6.fasta,3.79,0.0,,
14_0903_02_20cm_Bacteria_133_56_7.fasta,2.66,0.0,,
14_0903_02_30cm_Sphingobacteriales_157_38_13.fasta,99.51,0.0,4867729.0,2696704.0
14_0903_02_30cm_Bacteria_162_64_22.fasta,99.15,3.42,6382978.0,237945.0
14_0903_02_30cm_Sphingomonadales_156_68_15.fasta,98.59,0.29,3028871.0,2650155.0
14_0903_02_30cm_Gemmatimonadetes_10587_66_15.fasta,98.25,2.2,3378283.0,66779.0
14_0903_02_30cm_Gemmatimonadetes_182_69_11.fasta,97.67,8.92,3624208.0,45044.0
14_0903_02_30cm_Sphingobacteriales_165_43_8.fasta,97.54,3.31,6004504.0,176273.0
14_0903_02_30cm_Bacteria_183_67_8.fasta,97.49,2.94,2961230.0,21099.0
14_0903_02_30cm_Bacteria_164_68_8.fasta,97.25,2.75,4048070.0,44255.0
14_0903_02_30cm_Gemmatimonadetes_168_66_10.fasta,96.15,2.2,3412939.0,52268.0
14_0903_02_30cm_Acidobacteria_170_57_8.fasta,95.73,2.56,5494021.0,50209.0
14_0903_02_30cm_Gemmatimonadetes_202_69_7.fasta,95.53,7.14,3398788.0,22440.0
14_0903_02_30cm_Bacteria_174_66_7.fasta,94.75,8.33,3127217.0,31160.0
14_0903_02_30cm_Proteobacteria_161_68_9.fasta,94.69,3.65,4136040.0,51716.0
14_0903_02_30cm_Deltaproteobacteria_160_55_7.fasta,94.65,2.58,6534788.0,17518.0
14_0903_02_30cm_Bacteria_177_54_8.fasta,94.26,11.49,3226089.0,17686.0
14_0903_02_30cm_Gemmatimonadetes_167_68_7.fasta,93.41,2.2,4983587.0,60291.0
14_0903_02_30cm_Bacteria_171_59_8.fasta,93.04,5.29,3698064.0,17634.0
14_0903_02_30cm_Proteobacteria_163_68_8.fasta,92.66,7.92,3835813.0,25481.0
14_0903_02_30cm_Rickettsiella_grylli_159_36_9.fasta,92.44,1.45,2375586.0,123049.0
14_0903_02_30cm_Actinobacteria_232_69_9.fasta,92.41,10.38,2714410.0,7926.0
14_0903_02_30cm_Sphingobacteriales_221_37_7.fasta,92.36,9.5,4914154.0,14667.0
14_0903_02_30cm_Bacteria_187_55_7.fasta,92.23,11.4,3803952.0,16678.0
14_0903_02_30cm_Bacteria_211_54_15.fasta,90.41,16.0,3524800.0,14726.0
14_0903_02_30cm_Actinobacteria_212_68_10.fasta,90.07,3.48,3369669.0,23399.0
14_0903_02_30cm_Alphaproteobacteria_175_63_7.fasta,89.87,4.24,5120140.0,8388.0
14_0903_02_30cm_Bacteria_197_52_10.fasta,89.6,4.27,3744291.0,17914.0
14_0903_02_30cm_Rokubacteria_173_69_13.fasta,89.32,2.74,4866316.0,100529.0
14_0903_02_30cm_Alphaproteobacteria_228_63_6.fasta,89.18,12.23,6448712.0,12295.0
14_0903_02_30cm_RIF_CHLX_178_69_6.fasta,88.89,1.85,2856449.0,13700.0
14_0903_02_30cm_Bacteria_185_68_6.fasta,88.7,5.56,2663187.0,16517.0
14_0903_02_30cm_Gemmatimonadetes_206_68_11.fasta,88.54,6.17,3310653.0,16468.0
14_0903_02_30cm_Rokubacteria_184_69_7.fasta,87.89,5.28,5286085.0,28065.0
14_0903_02_30cm_Bacteria_166_68_8.fasta,87.28,4.42,5917201.0,42001.0
14_0903_02_30cm_Rokubacteria_180_70_11.fasta,87.18,5.66,5961219.0,79041.0
14_0903_02_30cm_Euryarchaeota_207_64_14.fasta,86.4,8.32,2068350.0,8017.0
14_0903_02_30cm_Bacteria_314_58_5.fasta,86.05,18.42,5666076.0,12533.0
14_0903_02_30cm_Acidobacteria_297_66_6.fasta,85.76,12.16,7165323.0,12673.0
14_0903_02_30cm_Bacteria_194_55_8.fasta,84.8,4.86,2232390.0,10017.0
14_0903_02_30cm_Acidobacteria_220_65_6.fasta,84.49,10.68,7089675.0,10931.0
14_0903_02_30cm_Bradyrhizobium_262_62_9.fasta,84.33,13.18,5144159.0,6531.0
14_0903_02_30cm_Sphingobacteriales_181_43_6.fasta,84.03,2.55,4428615.0,8968.0
14_0903_02_30cm_Alphaproteobacteria_186_65_8.fasta,83.66,7.87,5352659.0,6504.0
14_0903_02_30cm_Bacteria_250_54_7.fasta,83.02,12.44,2856799.0,5522.0
14_0903_02_30cm_Archaea_188_52_13.fasta,82.28,3.88,1528930.0,34392.0
14_0903_02_30cm_Bacteria_193_67_8.fasta,81.83,3.85,2668085.0,13141.0
14_0903_02_30cm_Euryarchaeota_215_64_24.fasta,81.57,4.67,1789042.0,13232.0
14_0903_02_30cm_RIFCSPHIGHO2_12_FULL_Alphaproteobacteria_66_14_curated_201_67_8.fasta,81.02,4.4,4325021.0,8252.0
14_0903_02_30cm_Gemmatimonadetes_204_66_6.fasta,80.77,6.59,2967256.0,13987.0
14_0903_02_30cm_Acidobacteria_218_57_7.fasta,79.96,1.71,4500985.0,17140.0
14_0903_02_30cm_Actinobacteria_172_69_15.fasta,79.89,4.45,2486914.0,28321.0
14_0903_02_30cm_Bacteria_318_55_7.fasta,79.47,39.31,,
14_0903_02_30cm_Rokubacteria_169_69_7.fasta,79.4,5.56,3429480.0,10627.0
14_0903_02_30cm_Bacteria_246_55_8.fasta,79.06,15.31,2783123.0,5208.0
14_0903_02_30cm_Alphaproteobacteria_179_65_14.fasta,78.98,4.42,3482064.0,6429.0
14_0903_02_30cm_Proteobacteria_210_68_5.fasta,77.6,2.3,3689032.0,9669.0
14_0903_02_30cm_Euryarchaeota_229_65_11.fasta,77.45,4.67,1777501.0,9912.0
14_0903_02_30cm_Bacteria_192_51_5.fasta,76.68,2.99,5331641.0,9357.0
14_0903_02_30cm_Archaea_200_52_6.fasta,75.55,4.05,1587435.0,9695.0
14_0903_02_30cm_Bacteria_223_55_10.fasta,75.54,4.45,2074782.0,10997.0
14_0903_02_30cm_Actinobacteria_241_68_6.fasta,74.62,5.41,,
14_0903_02_30cm_Actinobacteria_189_68_5.fasta,73.92,1.15,,
14_0903_02_30cm_Bacteria_258_67_6.fasta,73.8,8.12,,
14_0903_02_30cm_Bacteria_227_65_6.fasta,73.68,4.1,,
14_0903_02_30cm_Bacteria_176_57_5.fasta,73.61,1.71,,
14_0903_02_30cm_Gemmatimonadetes_214_70_6.fasta,73.41,0.0,,
14_0903_02_30cm_Armatimonadetes_196_65_5.fasta,73.04,1.11,,
14_0903_02_30cm_Betaproteobacteria_208_64_9.fasta,72.83,4.81,,
14_0903_02_30cm_Actinobacteria_190_71_7.fasta,72.53,1.62,,
14_0903_02_30cm_Rokubacteria_225_70_6.fasta,72.38,0.43,,
14_0903_02_30cm_Alphaproteobacteria_198_62_6.fasta,72.19,1.85,,
14_0903_02_30cm_Bacteria_216_54_5.fasta,72.04,2.3,,
14_0903_02_30cm_Bacteria_191_55_14.fasta,71.03,4.08,,
14_0903_02_30cm_Actinobacteria_358_68_6.fasta,70.14,3.45,,
14_0903_02_30cm_Bacteria_199_55_7.fasta,69.33,5.41,,
14_0903_02_30cm_Actinobacteria_10571_70_7.fasta,69.15,4.74,,
14_0903_02_30cm_Actinobacteria_243_69_5.fasta,68.97,1.08,,
14_0903_02_30cm_Archaea_247_53_9.fasta,68.85,3.27,,
14_0903_02_30cm_Solirubrobacterales_305_71_8.fasta,68.53,32.39,,
14_0903_02_30cm_Bacteria_312_66_5.fasta,68.39,24.73,,
14_0903_02_30cm_Bacteria_209_62_5.fasta,68.03,0.0,,
14_0903_02_30cm_Bacteria_233_68_6.fasta,67.76,2.78,,
14_0903_02_30cm_Bacteria_10551_56_9.fasta,67.53,13.53,,
14_0903_02_30cm_Bacteria_252_70_6.fasta,67.18,2.59,,
14_0903_02_30cm_Bacteria_286_70_4.fasta,66.14,53.13,,
14_0903_02_30cm_Betaproteobacteria_236_64_7.fasta,66.07,2.05,,
14_0903_02_30cm_Bacteria_217_56_7.fasta,65.65,7.59,,
14_0903_02_30cm_Bradyrhizobium_328_60_7.fasta,65.05,7.88,,
14_0903_02_30cm_Actinobacteria_253_69_5.fasta,62.82,11.45,,
14_0903_02_30cm_Actinobacteria_298_69_13.fasta,62.64,11.49,,
14_0903_02_30cm_Bacteria_259_69_5.fasta,62.0,2.97,,
14_0903_02_30cm_Bacteria_313_59_4.fasta,61.95,14.08,,
14_0903_02_30cm_Actinobacteria_245_67_4.fasta,61.94,2.05,,
14_0903_02_30cm_Actinobacteria_235_70_6.fasta,61.93,1.72,,
14_0903_02_30cm_Bacteria_213_70_5.fasta,61.46,2.52,,
14_0903_02_30cm_Bacteria_269_72_10.fasta,61.29,3.71,,
14_0903_02_30cm_Rhizobiales_302_63_6.fasta,61.14,2.04,,
14_0903_02_30cm_Bacteria_263_57_6.fasta,60.84,1.07,,
14_0903_02_30cm_Bacteria_224_55_7.fasta,60.81,1.17,,
14_0903_02_30cm_Rokubacteria_195_70_5.fasta,60.75,1.71,,
14_0903_02_30cm_Actinobacteria_205_69_5.fasta,60.44,1.51,,
14_0903_02_30cm_Gemmatimonadetes_219_69_5.fasta,60.32,4.95,,
14_0903_02_30cm_Gemmatimonadetes_261_65_5.fasta,59.62,8.92,,
14_0903_02_30cm_Actinobacteria_270_70_7.fasta,59.5,8.49,,
14_0903_02_30cm_Bacteria_303_55_9.fasta,58.75,12.26,,
14_0903_02_30cm_Bacteria_244_55_16.fasta,58.39,1.89,,
14_0903_02_30cm_Gemmatimonadetes_257_60_5.fasta,57.57,0.55,,
14_0903_02_30cm_Bacteria_268_56_13.fasta,56.69,13.49,,
14_0903_02_30cm_Bacteria_203_55_14.fasta,56.53,3.41,,
14_0903_02_30cm_Bacteria_255_54_6.fasta,55.88,17.23,,
14_0903_02_30cm_Acidobacteria_282_64_5.fasta,55.13,5.65,,
14_0903_02_30cm_Bacteria_248_58_5.fasta,54.24,3.42,,
14_0903_02_30cm_Bacteria_238_54_4.fasta,54.13,4.53,,
14_0903_02_30cm_Bacteria_222_55_10.fasta,53.84,2.93,,
14_0903_02_30cm_Bacteria_242_71_10.fasta,53.37,13.91,,
14_0903_02_30cm_Bacteria_369_69_4.fasta,51.68,15.35,,
14_0903_02_30cm_Gemmatimonadetes_276_69_8.fasta,51.28,0.55,,
14_0903_02_30cm_Actinobacteria_256_69_6.fasta,51.01,4.74,,
14_0903_02_30cm_Bacteria_283_69_5.fasta,50.49,2.52,,
14_0903_02_30cm_Actinobacteria_274_69_6.fasta,48.89,0.57,,
14_0903_02_30cm_Acidobacteria_254_58_5.fasta,47.81,0.85,,
14_0903_02_30cm_Rhizobiales_377_64_6.fasta,47.63,10.18,,
14_0903_02_30cm_Bacteria_272_54_7.fasta,47.28,0.72,,
14_0903_02_30cm_Bacteria_309_60_4.fasta,47.02,4.21,,
14_0903_02_30cm_Bacteria_267_62_4.fasta,45.21,18.59,,
14_0903_02_30cm_Proteobacteria_307_58_4.fasta,44.87,4.49,,
14_0903_02_30cm_Bacteria_226_68_4.fasta,44.56,2.69,,
14_0903_02_30cm_Bacteria_230_66_5.fasta,42.55,0.26,,
14_0903_02_30cm_Betaproteobacteria_234_67_14.fasta,42.1,2.35,,
14_0903_02_30cm_Bacteria_311_66_5.fasta,41.92,7.14,,
14_0903_02_30cm_Bacteria_237_55_15.fasta,41.06,1.69,,
14_0903_02_30cm_Bacteria_357_68_4.fasta,38.79,2.24,,
14_0903_02_30cm_Bacteria_304_55_9.fasta,37.66,2.34,,
14_0903_02_30cm_Acidobacteria_321_56_4.fasta,37.3,6.91,,
14_0903_02_30cm_Bacteria_329_55_11.fasta,37.29,11.03,,
14_0903_02_30cm_Bacteria_280_54_7.fasta,36.95,0.68,,
14_0903_02_30cm_Bacteria_324_55_10.fasta,36.89,2.3,,
14_0903_02_30cm_Gemmatimonadetes_299_69_6.fasta,36.6,3.01,,
14_0903_02_30cm_Betaproteobacteria_319_66_9.fasta,34.64,4.31,,
14_0903_02_30cm_unknown_249_26_9.fasta,34.61,0.54,,
14_0903_02_30cm_Actinobacteria_231_72_7.fasta,34.2,1.15,,
14_0903_02_30cm_Sphingomonadales_335_64_6.fasta,34.18,0.65,,
14_0903_02_30cm_Bacteria_300_54_4.fasta,33.79,1.72,,
