,genomes,phylum,label,abundance,SNPs,N:S,N_freq,S_freq,r2,d_prime,r2_normalized,d_prime_normalized,r2_n,d_prime_n,r2_s,d_prime_s,pi,genome_size
0,14_0903_05_40cm_Acidobacteria_477_57_13,Acidobacteria,477,0.09533289692851268,41659,0.8158304594504394,0.1718540386862302,0.17538105123795306,0.2501341284952671,0.9087271430542594,0.28279081259123423,0.9398720264064876,0.24254076291618448,0.9339527733858145,0.27726698290406565,0.8952503936691424,0.0034695853963374592,5473360
1,14_0903_09_40cm_Bacteria_750_66_8,Dormibacteraeota,750,0.03534073776735848,88984,0.34968145869947276,0.22551273774452704,0.24317841600269496,0.2500944258818423,0.8967403177374768,0.27968650674685325,0.9310867333393237,0.2457516132954079,0.9215435866264386,0.2529804008556295,0.8860850673071545,0.012549821817188705,2943230
2,14_0927_12_40cm_Bacteria_6527_55_8,Verrucomicrobia,6527,0.05115658132869813,55032,0.6944433658214577,0.18340114956881498,0.17949174925640968,0.23743888464021143,0.8897379550859587,0.27348163848505475,0.9304032906562698,0.22794807651774163,0.9042642219417645,0.26409479986340506,0.8794254172502214,0.007492207476737763,2915259
3,14_0929_12_30cm_Bacteria_7383_54_8,Verrucomicrobia,7383,0.10246321659065968,79796,0.5500876132184901,0.17572260745806187,0.17340559360420177,0.2302556573508622,0.8863803931519206,0.2657324293504169,0.9287729775804954,0.22151753803369104,0.8985837256234993,0.2526857223086995,0.8853814649075261,0.009577071651816338,3182575
4,14_0927_05_20cm_Bacteria_2135_68_10,Chloroflexi,2135,0.05442891921528701,59047,0.39136769759450174,0.1915906179705183,0.20568547033970627,0.19728239721772936,0.8531632774096705,0.22672309664441834,0.9024667104615571,0.20011533645188895,0.8849209146985825,0.20262568539368128,0.8417785710530226,0.007259867709062259,2993566
5,14_0903_12_20cm_Proteobacteria_884_68_14,Gammaproteobacteria,884,0.059494520031340696,92819,0.5622690175546659,0.2039506612944954,0.20510477710639144,0.2938703299090482,0.9259622904997448,0.3310559533303307,0.9537879848202024,0.3165519370958331,0.9351237121829319,0.2838173752461661,0.9205884335999135,0.009578791288423339,3619965
6,14_1009_02_30cm_Bacteria_3696_55_11,Verrucomicrobia,3696,0.06461972772142491,77282,0.6355010224948875,0.16861787627288,0.17439402495572434,0.21027968225110105,0.9062812893126512,0.24380830050591634,0.9413181788152557,0.1960793587320175,0.9266900510947077,0.22604273355682516,0.8917293848184484,0.010673470224778535,2939151
7,14_0929_02_40cm_Rokubacteria_2807_70_29,Rokubacteria,2807,0.14015330770639117,93781,0.5830005590607779,0.16217297030784,0.16473708952772614,0.16558249898320807,0.8705711368180338,0.1955659859700635,0.9160967127107638,0.1746285394597664,0.8931950564550638,0.16760324871997814,0.8631177007677641,0.0059559601470400665,5623218
8,14_0927_05_20cm_Gemmatimonadetes_2150_69_20,Gemmatimonadetes,2150,0.20909043187828902,145222,0.391522153771951,0.1794654042882166,0.18248122802643066,0.16836607672620377,0.9153492657390815,0.1990157144777208,0.9467555863747172,0.17400383243437487,0.9338307082491717,0.16648996857491408,0.9092624437375891,0.015573054854347271,3359616
9,14_1009_02_30cm_Gemmatimonadetes_3684_69_12,Gemmatimonadetes,3684,0.11038306302439074,39112,0.48559760177260286,0.18431339643339326,0.1936937068319077,0.23513955817330376,0.8587125955761907,0.26799175929020724,0.9095710477778834,0.2317016010391061,0.8766317171752528,0.245316548031102,0.8543166691664311,0.004368945825320195,3448421
